기업명,경력,학력,핵심역량,스킬
현대자동차㈜,경력,학력무관,"계획성, 성실성, 꼼꼼함",
㈜아이엠뱅크,경력 직무에 따라 상이,학력무관,"성실성, 성취지향성, 계획성",
㈜세종교육,신입,학력무관 교육별 상이,,"Hadoop, JAVA, Python, Tensorflow, Tableau, ERP, MES, PLC"
GS리테일,경력 (3년이상),대졸이상,"계획성, 성취지향성, 꼼꼼함","API, AWS, GCP, kubernetes, Python, Go"
(주)우아한형제들,신입,학력무관,,"ASP, API, ASP"
휴먼교육센터,신입,학력무관,,
SK매직,경력 (4년이상),대졸이상,"계획성, 성취지향성, 꼼꼼함","Pytorch, Tensorflow, Linux, CAD, BSP, MCU, Micom, RTOS"
㈜하이미디어아카데미,신입,학력무관,"계획성, 성실성, 꼼꼼함",
라이나생명보험,경력 (1년이상),학력무관,"계획성, 성취지향성, 꼼꼼함",
스마트라이프텍㈜,신입,학력무관,,
㈜에이치비테크놀러지,경력 (5년이상),학력무관,,
기아㈜,경력 직무별 상이,대졸이상 (ICT본부 고졸 이상),"계획성, 성실성, 꼼꼼함",
티맵모빌리티㈜,경력 (10년이상),초대졸이상,,"AWS, Hadoop, JAVA, Javascript, Kafka, Kotlin, OpenGL, Scala, Swift, Spring Framework"
재단법인 서울특별시 50플러스재단,경력,학력무관,"계획성, 성실성, 꼼꼼함",
(주)한백전자,신입,학력무관,,
"㈜숲(SOOP CO., LTD.)",경력 (1년이상),학력무관,,"Ai, LLM"
메가존클라우드㈜,경력,학력무관,,"AWS, Azure, GCP, MySQL, NoSQL, SQL, Tensorflow, Linux"
카카오뱅크,경력,,,
"㈜숲(SOOP CO., LTD.)",경력 (10년이상),학력무관,,"JAVA, Python"
"㈜숲(SOOP CO., LTD.)",경력 (6년이상),학력무관,,Ai
㈜DYB최선어학원,신입,대졸이상 (졸업예정자 가능),,"JAVA, MySQL, Oracle, PHP, Python, Illustrator, Photoshop, 파이널컷, 프리미어, 영어"
