,문양,다사,대실,강창,계명대,성서산업단지,이곡,용산,죽전,감삼,두류,내당,반고개,청라언덕2,반월당2,경대병원,대구은행,범어,수성구청,만촌,담티,연호,대공원,고산,신매,사월,정평,임당,영남대
2006,714256,479071,431409,1311104,2569597,2046135,1434669,2711653,1680043,2032690,2521755,1409051,1644317,2157221,5479102,1837559,1942669,2032903,1540126,1282920,938415,140297,149190,749536,2616171,1956580,0,0,0
2007,748559,609371,480067,1406013,2560816,2086728,1382099,2762126,1670337,2157690,2541367,1401460,1703740,2260241,5603702,1907591,1969170,2136177,1560688,1372349,1006679,150784,181594,738945,2647971,2240735,0,0,0
2008,843485,600428,753350,1499394,2686437,2097263,1411304,2873779,1722626,2225724,2652924,1434444,1751879,2286539,5720553,2020253,2103672,2266500,1632865,1420144,1038045,171260,195814,801843,2597179,2623742,0,0,0
2009,854798,652987,1328450,1526047,2707690,2067932,1394957,2913282,1740792,2361482,2742565,1525530,1793122,2441984,5910456,2109022,2192296,2325265,1708089,1444657,1079509,170169,182204,839322,2462016,2958782,0,0,0
2010,891432,760130,1449457,1638789,2877237,2151160,1407128,3076591,1745262,2413856,2892993,1593891,1770700,2462961,6180373,2191464,2327353,2668720,1654626,1487281,1102825,166705,181954,862092,2434252,3108599,0,0,0
2011,969754,772528,1595523,1718339,2939182,2208514,1455236,3219414,1856343,2414378,3043949,1644722,1767165,2538220,6736392,2229820,2485525,2884858,1745100,1612608,1143372,181480,227746,963364,2515702,3308712,0,0,0
2012,1023005,793311,1881728,1706728,3066350,2157130,1479357,3288234,1992247,2485621,3148477,1695036,1759871,2635513,7457138,2339532,2570162,3102915,1815609,1691041,1230730,203312,245972,934129,2647352,2862695,388221,167335,1030158
2013,1090867,806471,2037206,1750499,3098930,2197122,1488088,3319177,2056978,2512991,3310603,1722079,1805630,2839636,8283060,2510532,2751622,3367549,1929897,1808412,1328467,228335,232679,981573,2842972,1712856,1456349,691529,3528143
2014,1090063,820421,2107361,1713642,3116387,2141501,1492337,3260877,2066000,2501305,3309680,1680399,1782173,2846088,8478342,2502651,2765186,3440476,1894062,1751764,1278048,240326,179256,958423,2811760,1624752,1532108,776090,3659440
2015,1067404,804379,2173585,1668354,3022538,2183132,1505973,3265445,2129395,2542477,3425030,1755031,1702287,2439696,8569888,2523083,2589290,3178120,1865333,1659743,1253737,230624,177857,915918,2773374,1617944,1517006,901034,3615663
2016,1073551,796113,2263943,1657543,2934976,2234748,1517064,3343619,2208406,2656321,3481742,1777612,1706253,2104288,8842393,2625249,2513768,3024312,1886445,1608898,1261371,230170,545245,893407,2735259,1580791,1520739,977723,3591051
2017,1086156,778994,2322374,1595841,2825346,2154319,1462382,3251493,2090410,2618542,3361588,1718603,1624361,1989292,8699657,2577470,2344562,2876047,1781727,1504550,1239393,231943,433204,852166,2644330,1502797,1487963,961037,3430980
2018,1077246,790574,2360379,1567394,2804296,2115276,1448575,3179797,2038577,2590238,3213664,1716015,1567597,1971484,8829362,2680184,2270959,2795477,1766400,1470198,1201474,223968,423053,863643,2529596,1539621,1462606,986942,3329477
2019,1106031,895063,2481446,2260775,2752660,2127210,1486349,3193706,2114985,2649293,3226162,1735590,1607164,1902397,8988979,2755400,2315212,2881289,1858536,1493446,1196844,241472,387039,957137,2580565,1570266,1578831,1144698,3264287
2020,794379,649904,1730625,1615384,1631247,1466587,1042975,1994120,1469980,1870888,1997763,1228479,1113169,1285903,5567983,1902425,1576296,2003208,1284021,958292,758744,166883,157254,666484,1679275,1013311,1093354,774004,1661369
2021,858494,749359,1948804,1869271,1976758,1576835,1146009,2146909,1588292,2068625,2153060,1341722,1222335,1431220,5843096,2132054,1789018,2245329,1489795,1081511,918531,189943,266516,775682,1869287,1179719,1327828,933610,2040129
2022,915906,887518,2114641,2045644,2250618,1702863,1208901,2363568,1779130,2179655,2342474,1439521,1355907,1570536,6380335,2314755,1948752,2387932,1622271,1191759,1001483,197483,431818,869809,2073552,1299696,1468494,1032310,2688643
2023,961690,1104255,2277827,2138129,2254883,1768141,1235781,2529917,2035611,2292528,2389195,1571191,1459696,1735060,6947346,2539520,2062955,2561990,1796996,1286763,1071098,197006,515113,918960,2162683,1345790,1511391,1104750,2767401
