,칠곡경대병원,학정,팔거,동천,칠곡운암,구암,태전,매천,매천시장,팔달,공단,만평,팔달시장,원대,북구청,달성공원,서문시장,청라언덕3,남산,명덕3,건들바위,대봉교,수성시장,수성구민운동장,어린이세상,황금,수성못,지산,범물,용지
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,359041,84219,1061456,469117,900593,539013,529499,461961,201049,241091,257656,416764,447766,354299,737174,354414,2014761,367617,637552,695619,298457,755472,551948,452840,331021,710787,815430,548188,917238,572935
2016,486015,126075,1656655,704285,1435490,898262,812986,735231,297585,390738,413316,693731,721375,595811,1209832,544987,3184122,595050,1126663,1074451,483984,1224359,949422,727402,486162,1139714,1004599,866498,1472380,796528
2017,475103,119948,1668327,700711,1441232,880486,822380,738554,300623,418264,426362,667897,779449,620405,1245627,568529,2957566,634790,1151062,1055290,482283,1200066,965358,739970,482215,1150415,973318,868317,1488324,792029
2018,467150,118466,1661692,702908,1435715,874355,839311,751883,306389,435128,435293,674281,892658,616478,1316820,656446,2919905,646368,1176552,1050890,472849,1141848,1004146,718712,458272,1162131,955263,834824,1484615,820887
2019,495282,127560,1730776,746939,1495950,881090,855781,773586,450232,466645,434160,683004,968551,597349,1420446,692805,2745754,655260,1255279,1067643,486718,1126964,1073655,737841,447778,1222496,1002839,877203,1541809,885137
2020,325933,89207,1220545,535435,1076353,589516,614336,574906,420984,347559,335488,442411,733088,404040,1033281,442368,1821304,460181,896042,723761,350092,770248,751461,509975,310873,830809,696370,589254,1103437,612587
2021,354497,103237,1335861,608144,1207202,682557,691967,641943,469287,381339,359679,461217,790061,428711,1161796,489913,1914647,531374,1050134,815986,380228,858176,838856,541493,337370,909173,776184,648498,1213686,687833
2022,379939,118011,1490142,646396,1289196,718454,737967,681463,496702,398038,388934,484029,825198,434571,1254455,563471,2040623,629017,1096748,872350,483234,914392,908202,573129,371692,983981,870071,688092,1273546,741865
2023,406524,126860,1592703,683076,1316264,760102,779322,694457,514610,420661,404389,489415,867589,487497,1330191,672990,2219245,735083,1124712,886797,549603,962608,966076,594146,408334,1033884,922763,733455,1333339,811837
