pronunciation	standard
오랫동안 한 동네에서 살았던 할무닌데 도라가주씨 매매 아프네요	오랫동안 한 동네에서 살았던 할머니인데 돌아가겨서 마음이 아프네요
혈압약은 시간을 맞춰 챙겨 드셔야지 안 그러면 효과가 없습니다	혈압약은 시간을 맞춰 챙겨 드셔야지 안 그러면 효과가 없습니다
집에 돌아와 보이꺼네 문이 열려 있고 뼈다지가 열어둔 돈 전부 없어지던 어이떼	집에 돌아와 보니까 문이 열려 있고 서랍이 열어둔 돈 전부 없어지던 어이떼
아들 오늘 중요한 시험 보니까네 이 생서 하고 사가꼬 묵고 힘내서 시험 잘 바래이	아들 오늘 중요한 시험 보니까 이 생 엿 하고 사서 먹고 힘내서 시험 잘 봐
옛날부터 조상꿈이나 돼지꿈 꾸만 집에 돈 많이 들어온다고 좋아 해찌로	옛날부터 조상꿈이나 돼지꿈 꾸면 집에 돈 많이 들어온다고 좋아 했죠
게어레 먹을 채소나 과일 같은 것은 어데 보관을 핻씀니꺼	겨울에 먹을 채소나 과일 같은 것은 어디에 보관을 했습니까
친정 동네하고 이 동네하고 차례 지낼 때 상차리는 건 뭐가 다릅니까	친정 동네하고 이 동네하고 차례 지낼 때 상차리는 건 뭐가 다릅니까
친정 동네하고 이 동네하고 차례 지낼 때 상 차리는 건 뭐가 다릅니까	친정 동네하고 이 동네하고 차례 지낼 때 상 차리는 건 뭐가 다릅니까
촌꾸수기라 젊은 사람들은 함부레 없고 전부 노인들만 이쓰이꺼네 농사 짓기가 힘들어요	촌구석이라 젊은 사람들은 아예 없고 전부 노인들만 있으니까 농사 짓기가 힘들어요
촌구석이라 젊은 사람들은 한 번이 없고 전부 노인들만 이쓰니까네 농사 짓기가 힘들어요	촌구석이라 젊은 사람들은 한 번이 없고 전부 노인들만 있으니까 농사 짓기가 힘들어요
소도 사람맨치로 잘 먹어야 근육도 붙고 심도 생겨서 일을 잘 하지로	소도 사람처럼 잘 먹어야 근육도 붙고 힘도 생겨서 일을 잘 하지요
소도 사람 맨치로 잘 먹어야 근육도 붇고 힘도 생겨서 일을 잘 하지요	소도 사람 처럼 잘 먹어야 근육도 붇고 힘도 생겨서 일을 잘 하지요
옫까시믈 짜를 때는 미리 선을 끄어 놓아야 쪽빠리 잘 자를 수 이써예	옷감을 자를 때는 미리 선을 그어 놓아야 똑바로 잘 자를 수 있어요
올해는 배치 농사를 농사 농새를 마우가 김장으로 할라믄 배치를 좀 가오가 담가야 되겠네	올해는 배추 농사를 농사 농사를 망쳐서 김장으로 하려면 배추를 좀 가져와서 담가야 되겠네
우리 메누리는 자식들 잘 챙기고 차캐가 내가 을매나 자랑을 하고 댕긴다고	우리 며느리는 자식들 잘 챙기고 착해서 내가 얼마나 자랑을 하고 다닌다고
우리 메누리는 자식들 잘 챙기고 차캐가 내가 얼마나 자랑을 하고 댕긴다고	우리 며느리는 자식들 잘 챙기고 착해서 내가 얼마나 자랑을 하고 다닌다고
배차 한 포기 키우는 것도 이러코롬 힘드는디 어무이는 우에 평생 농사를 짓고 사랏스니더	배추 한 포기 키우는 것도 이렇게 힘드는데 어머니는 어떻게 평생 농사를 짓고 살았습니까
배차 한 포기 키우는 것도 이러쿠롬 힘드는디 어무이는 우예 펭생 농사를 짓고 사라쓸라	배추 한 포기 키우는 것도 이렇게 힘드는데 어머니는 어떻게 평생 농사를 짓고 살았을까
비가 올 줄도 모르고 세차를 하루종일 열심히 했는데 완전히 헛수고 해따이	비가 올 줄도 모르고 세차를 하루종일 열심히 했는데 완전히 헛수고 했다
비가 올 줄도 모르고 세차를 하루 종일 열심히 했는데 완전히 헛수고 햇다잉	비가 올 줄도 모르고 세차를 하루 종일 열심히 했는데 완전히 헛수고 했네
